network_id,name,created_at,chain_number,chain_rpc,explorer_api_prefix,explorer_api_key,explorer_tx_url,explorer_type,symbol,max_gas,min_gas,is_valid
1,ethereum,2022-09-25 15:44:12,1,https://rpc.ankr.com/eth,https://api.etherscan.io,P9V56281GVUXJB7V7D5TQPI6HF9TPNGUJ6,https://etherscan.io,scan,ETH,0.1,0.01,1
2,bsc,2022-09-25 15:44:12,56,https://bsc-dataseed1.binance.org,https://api.bscscan.com,1TQ1MQZF7MXTFCH6RGZDQE7YGVUJ1MURF8,https://bscscan.com,scan,BNB,5,1,1
3,polygon,2022-09-25 15:44:12,137,https://polygon-rpc.com/,https://api.polygonscan.com,W9VBAY3ITBV5J8MC5EB2VYF9E77VANJCH3,https://polygonscan.com,scan,MATIC,5,1,1
4,avalanche,2022-09-25 15:44:12,43114,https://api.avax.network/ext/bc/C/rpc,https://api.snowtrace.io,5IW5QBE9QMQM3IJRHPKUTB4CWZ1JU1FS8R,https://snowtrace.io,scan,WAVAX,0.1,0.01,1
5,fantom,2022-09-25 15:44:12,250,https://rpc.ankr.com/fantom,https://api.ftmscan.com,35XFJZ295M8G38F88WGE68Q7QWNIXYEKN8,https://ftmscan.com,scan,FTM,5,1,1
6,harmony,2022-09-25 15:44:12,1666600000,https://rpc.ankr.com/harmony,N/A,N/A,https://explorer.harmony.one,scan,ONE,5,1,1
7,cronos,2022-09-25 15:44:12,25,https://evm.cronos.org,https://api.cronoscan.com,JWPMH497JZCPCKBPMWY1RVT1PNCWRKV4BV,https://cronoscan.com,scan,CRO,5,1,1
8,osmosis,2022-09-25 15:44:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
9,aurora,2022-09-25 15:44:12,1313161554,https://mainnet.aurora.dev,https://api.aurorascan.dev,IN6MH1YH6PX3UXHFNPKF2EN9ESATU6KR2V,https://aurorascan.dev,scan,ETH,5,1,1
10,moonriver,2022-09-25 15:44:12,1285,https://rpc.api.moonriver.moonbeam.network,https://api.moonriver.moonscan.io,P48EER48VRVHHVZ4F55DTJASWQ9AVTEX5W,https://moonriver.moonscan.io,scan,MOVR,5,1,1
11,moonbeam,2022-09-25 15:44:12,1284,https://rpc.api.moonbeam.network,https://api-moonbeam.moonscan.io,7W93PW6TK1J71H3FGHRFBP3D4I397XRS38,https://moonbeam.moonscan.io,scan,GLMR,5,1,1
12,metis,2022-09-25 15:44:12,1088,https://andromeda.metis.io/?owner=1088,N/A,N/A,https://andromeda-explorer.metis.io,blockscout,METIS,5,1,1
13,arbitrum,2022-09-25 15:44:12,42161,https://1rpc.io/arb,https://api.arbiscan.io,2PUF8EA9HP3X86WP3G2AP6Z5QUBDSGPPBJ,https://arbiscan.io,scan,ETH,5,1,1
14,optimism,2022-09-25 15:44:12,10,https://mainnet.optimism.io/,https://api-optimistic.etherscan.io,M3GWTP6MDNC229NR183DB1RQJ4BUKF5HFZ,https://optimistic.etherscan.io,scan,ETH,5,1,1
15,dogechain,2022-09-25 15:44:12,2000,https://rpc-us.dogechain.dog,N/A,N/A,https://dogechain.info/,custom,DOGE,5,1,1
16,heco,2022-09-25 15:44:12,128,https://http-mainnet.hecochain.com,N/A,N/A,https://scan.hecochain.com,custom,HT,5,1,1
17,oasisemerald,2022-09-25 15:44:12,42262,https://emerald.oasis.dev,N/A,N/A,https://explorer.emerald.oasis.dev,blockscout,ROSE,5,1,1
18,astar,2022-09-25 15:44:12,592,https://astar.public.blastapi.io,N/A,N/A,https://astar.subscan.io/extrinsic,custom,ASTR,5,1,1
19,evmos,2022-09-25 15:44:12,9001,https://eth.bd.evmos.org:8545,N/A,N/A,https://evm.evmos.org,blockscout,EVMOS,5,1,1
20,milkomeda,2022-09-25 15:44:12,2001,https://rpc-mainnet-cardano-evm.c1.milkomeda.com,N/A,N/A,https://explorer-mainnet-cardano-evm.c1.milkomeda.com,blockscout,mADA,5,1,1
21,avalanchedfk,2022-09-25 15:44:12,53935,https://subnets.avax.network/defi-kingdoms/dfk-chain/rpc,N/A,N/A,https://subnets.avax.network/defi-kingdoms,custom,JEWEL,5,1,1
22,xdai,2022-09-25 15:44:12,100,https://rpc.gnosischain.com,https://api.gnosisscan.io,2MC9N8NENVAXAKZPSEJRN1GH56TZ7RSEPS,https://gnosisscan.io,scan,xDAI,5,1,1
23,velas,2022-09-25 15:44:12,106,https://evmexplorer.velas.com/rpc,N/A,N/A,https://evmexplorer.velas.com,blockscout,VLX,5,1,1
24,kcc,2022-09-25 15:44:12,321,https://rpc-mainnet.kcc.network,N/A,N/A,https://explorer.kcc.io/en,custom,KCS,5,1,1
25,oec,2022-09-25 15:44:12,66,https://exchainrpc.okex.org,N/A,N/A,https://www.oklink.com/en/okc,custom,OKT,5,1,1
26,celo,2022-09-25 15:44:12,42220,https://forno.celo.org,N/A,N/A,https://explorer.celo.org,blockscout,CELO,5,1,1
27,sifchain,2022-09-25 15:44:12,N/A,https://rpc.sifchain.finance/,N/A,N/A,https://www.mintscan.io/sifchain,custom,ROWAN,5,1,1
28,tombchain,2022-09-25 15:44:12,6969,https://rpc.tombchain.com/,N/A,N/A,https://tombscout.com,blockscout,TOMB,5,1,1
29,smartbch,2022-09-25 15:44:12,10000,https://smartbch.greyh.at,N/A,N/A,https://smartbch-explorer.web.app,custom,BCH,5,1,1
30,arbitrumnova,2022-09-25 15:44:12,42170,https://nova.arbitrum.io/rpc,N/A,N/A,https://nova-explorer.arbitrum.io,blockscout,ETH,5,1,1
31,ethereumclassic,2022-09-25 15:44:12,61,https://besu.etc-network.info,N/A,N/A,https://blockscout.com/etc/mainnet,blockscout,ETC,5,1,1
32,ethereumpow,2022-09-25 15:44:12,10001,https://mainnet.ethereumpow.org,N/A,N/A,https://explorer.bitquery.io/ethpow,blockscout,ETHW,5,1,1
33,ethereumfair,2022-09-25 15:44:12,513100,https://rpc.etherfair.org,N/A,N/A,https://explorer.etherfair.org,blockscout,ETH,5,1,1
34,canto,2022-09-25 15:44:12,7700,https://canto.evm.chandrastation.com,N/A,N/A,https://evm.explorer.canto.io,blockscout,CANTO,5,1,1
35,redlightchain,2022-09-25 15:44:12,2611,https://dataseed2.redlightscan.finance,N/A,N/A,https://redlightscan.finance,blockscout,REDLC,5,1,1
36,godwoken,2022-09-25 15:44:12,71402,https://v1.mainnet.godwoken.io/rpc,N/A,N/A,https://gw-mainnet-explorer.nervosdao.community,blockscout,pCKB,5,1,1
37,hsc,2022-09-25 15:44:12,70,https://http-mainnet.hoosmartchain.com,N/A,N/A,https://hooscan.com,blockscout,HOO,5,1,1
38,fuse,2022-09-25 15:44:12,122,https://rpc.fuse.io,N/A,N/A,https://explorer.fuse.io,blockscout,FUSE,5,1,1
39,telos,2022-09-25 15:44:12,40,https://rpc1.eu.telos.net/evm,N/A,N/A,https://www.teloscan.io,custom,TLOS,5,1,1
40,kardiachain,2022-09-25 15:44:12,24,https://rpc.kardiachain.io,N/A,N/A,https://explorer.kardiachain.io,blockscout,KAI,5,1,1
41,iotex,2022-09-25 15:44:12,4689,https://pokt-api.iotex.io,N/A,N/A,https://iotexscan.io,custom,IOTX,5,1,1
42,wanchain,2022-09-25 15:44:12,888,https://gwan-ssl.wandevs.org:56891,N/A,N/A,https://wan.blocksscan.io,custom,WAN,5,1,1
43,conflux,2022-09-25 15:44:12,1030,https://evm.confluxrpc.com,N/A,N/A,https://www.confluxscan.io/transaction/,custom,CFX,5,1,1
44,cube,2022-09-25 15:44:12,1818,https://http-mainnet-sg.cube.network,N/A,N/A,https://www.cubescan.network/en-us/tx/,custom,CUBE,5,1,1
45,boba,2022-09-25 15:44:12,288,https://lightning-replica.boba.network,https://api.bobascan.com,FK5TYZ6NKX1BGBAWF7DUH4N43MF5JGTGKZ,https://bobascan.com,scan,ETH,5,1,1
46,meter,2022-09-25 15:44:12,82,https://rpc.meter.io,N/A,N/A,https://scan.meter.io/tx/,custom,MTR,5,1,1
47,elastos,2022-09-25 15:44:12,20,https://api.elastos.io/eth,N/A,N/A,https://eth.elastos.io,blockscout,ELA,5,1,1
48,syscoin,2022-09-25 15:44:12,57,https://rpc.syscoin.org,N/A,N/A,https://explorer.syscoin.org,blockscout,SYS,5,1,1
49,kava,2022-09-25 15:44:12,2222,https://evm2.kava.io,N/A,N/A,https://explorer.kava.io,blockscout,KAVA,5,1,1
50,shibchain,2022-09-25 15:44:12,1923,https://rpc.shibchain.app,N/A,N/A,https://explorer.shibchain.app,blockscout,WSHIB,5,1,1
51,thundercore,2022-09-25 15:44:12,108,https://mainnet-rpc.thundercore.io,N/A,N/A,https://viewblock.io/thundercore/tx/,custom,TT,5,1,1
52,novanetwork,2022-09-25 15:44:12,87,https://rpc.novanetwork.io:9070,N/A,N/A,N/A,N/A,SNT,5,1,0
53,echelon,2022-09-25 15:44:12,3000,https://rpc.ech.network,N/A,N/A,https://app.ech.network/explorer/tx/,custom,ECH,5,1,1
54,kekchain,2022-09-27 12:01:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0